date,value
6/24/2017,40668
6/25/2017,46618
6/26/2017,43904
6/27/2017,46568
6/28/2017,52375
6/29/2017,41553
6/30/2017,48456
7/1/2017,37928
7/2/2017,47547
7/3/2017,78839
7/4/2017,82957
7/5/2017,79604
7/6/2017,70436
7/7/2017,55682
7/8/2017,47133
7/9/2017,52715
7/10/2017,60916
7/11/2017,58470
7/12/2017,67336
7/13/2017,72532
7/14/2017,78133
7/15/2017,75974
7/16/2017,77304
7/17/2017,74115
7/18/2017,78235
7/19/2017,83925
7/20/2017,62996
7/21/2017,65973
7/22/2017,60364
7/23/2017,57083
7/24/2017,63076
7/25/2017,78896
7/26/2017,61290
7/27/2017,68910
7/28/2017,77848
7/29/2017,57041
7/30/2017,44213
7/31/2017,62541
8/1/2017,46685
8/2/2017,51019
8/3/2017,49166
8/4/2017,56280
8/5/2017,44482
8/6/2017,42476
8/7/2017,47298
8/8/2017,47995
8/9/2017,46436
8/10/2017,43221
8/11/2017,48098
8/12/2017,43524
8/13/2017,40913
8/14/2017,48547
8/15/2017,49134
8/16/2017,50398
8/17/2017,55424
8/18/2017,51828
8/19/2017,41340
8/20/2017,45547
8/21/2017,61318
8/22/2017,54247
8/23/2017,54941
8/24/2017,38833
8/25/2017,37208
8/26/2017,39073
8/27/2017,40359
8/28/2017,55006
8/29/2017,52121
8/30/2017,48375
8/31/2017,47794
9/1/2017,47939
9/2/2017,40430
9/3/2017,28497
9/4/2017,51281
9/5/2017,52076
9/6/2017,53952
9/7/2017,54945
9/8/2017,48839
9/9/2017,44404
9/10/2017,48150
9/11/2017,56383
9/12/2017,52978
9/13/2017,52552
9/14/2017,52044
9/15/2017,50138
9/16/2017,42710
9/17/2017,42071
9/18/2017,58878
9/19/2017,51861
9/20/2017,51792
9/21/2017,48664
9/22/2017,43914
9/23/2017,39859
9/24/2017,37368
9/25/2017,46807
9/26/2017,50268
9/27/2017,48480
9/28/2017,45651
9/29/2017,43654
9/30/2017,34719
10/1/2017,38835
10/2/2017,46391
10/3/2017,50398
10/4/2017,50115
10/5/2017,57123
10/6/2017,50828
10/7/2017,40829
10/8/2017,39843
10/9/2017,48588
10/10/2017,50863
10/11/2017,46741
10/12/2017,51448
10/13/2017,50295
10/14/2017,42956
10/15/2017,39388
10/16/2017,48393
10/17/2017,52093
10/18/2017,50482
10/19/2017,56418
10/20/2017,44474
10/21/2017,42741
10/22/2017,46446
10/23/2017,50884
10/24/2017,55085
10/25/2017,50914
10/26/2017,48182
10/27/2017,46141
10/28/2017,39823
10/29/2017,39452
10/30/2017,48468
10/31/2017,45963
11/1/2017,45771
11/2/2017,54769
11/3/2017,54387
11/4/2017,43141
11/5/2017,43411
11/6/2017,55505
11/7/2017,55343
11/8/2017,49695
11/9/2017,56215
11/10/2017,59465
11/11/2017,41105
11/12/2017,53562
11/13/2017,56598
11/14/2017,58650
11/15/2017,57976
11/16/2017,61562
11/17/2017,54098
11/18/2017,45065
11/19/2017,48547
11/20/2017,55367
11/21/2017,56693
11/22/2017,136744
11/23/2017,113149
11/24/2017,59697
11/25/2017,42161
11/26/2017,45100
11/27/2017,55855
11/28/2017,54324
11/29/2017,56843
11/30/2017,60249
12/1/2017,58830
12/2/2017,34791
12/3/2017,34841
12/4/2017,52880
12/5/2017,60788
12/6/2017,60358
12/7/2017,55929
12/8/2017,44714
12/9/2017,41348
12/10/2017,40424
12/11/2017,53151
12/12/2017,51780
12/13/2017,57092
12/14/2017,48394
12/15/2017,46097
12/16/2017,48136
12/17/2017,37655
12/18/2017,49015
12/19/2017,55850
12/20/2017,48414
12/21/2017,51137
12/22/2017,45127
12/23/2017,34257
12/24/2017,36708
12/25/2017,49542
12/26/2017,44083
12/27/2017,43075
12/28/2017,51018
12/29/2017,72819
12/30/2017,50169
12/31/2017,42616
1/1/2018,41810
1/2/2018,51362
1/3/2018,56013
1/4/2018,58910
1/5/2018,58239
1/6/2018,41870
1/7/2018,42981
1/8/2018,62887
1/9/2018,60260
1/10/2018,106349
1/11/2018,77030
1/12/2018,53781
1/13/2018,42621
1/14/2018,43990
1/15/2018,59119
1/16/2018,63272
1/17/2018,60159
1/18/2018,64068
1/19/2018,61345
1/20/2018,50553
1/21/2018,46436
1/22/2018,63084
1/23/2018,62758
1/24/2018,61700
1/25/2018,65438
1/26/2018,56792
1/27/2018,48186
1/28/2018,49485
1/29/2018,66609
1/30/2018,77144
1/31/2018,61732
2/1/2018,65803
2/2/2018,59272
2/3/2018,45779
2/4/2018,29872
2/5/2018,76073
2/6/2018,77059
2/7/2018,74939
2/8/2018,75397
2/9/2018,71514
2/10/2018,51208
2/11/2018,52371
2/12/2018,76738
2/13/2018,74967
2/14/2018,66850
2/15/2018,70090
2/16/2018,68310
2/17/2018,56257
2/18/2018,53798
2/19/2018,67406
2/20/2018,72493
2/21/2018,82716
2/22/2018,84685
2/23/2018,68160
2/24/2018,51002
2/25/2018,50945
2/26/2018,69180
2/27/2018,75783
2/28/2018,70345
3/1/2018,66423
3/2/2018,62627
3/3/2018,48492
3/4/2018,53712
3/5/2018,65506
3/6/2018,88644
3/7/2018,76008
3/8/2018,67376
3/9/2018,63935
3/10/2018,52913
3/11/2018,49759
3/12/2018,66045
3/13/2018,70428
3/14/2018,66001
3/15/2018,66800
3/16/2018,60562
3/17/2018,48609
3/18/2018,48808
3/19/2018,64044
3/20/2018,65209
3/21/2018,68532
3/22/2018,71059
3/23/2018,65798
3/24/2018,48873
3/25/2018,51219
3/26/2018,68186
3/27/2018,70345
3/28/2018,68748
3/29/2018,68853
3/30/2018,58890
3/31/2018,51103
4/1/2018,56224
4/2/2018,66957
4/3/2018,70500
4/4/2018,71217
4/5/2018,71640
4/6/2018,65494
4/7/2018,52642
4/8/2018,49394
4/9/2018,67122
4/10/2018,67930
4/11/2018,66601
4/12/2018,88232
4/13/2018,65620
4/14/2018,46493
4/15/2018,50303
4/16/2018,70225
4/17/2018,70814
4/18/2018,67661
4/19/2018,65526
4/20/2018,68599
4/21/2018,53931
4/22/2018,53319
4/23/2018,68490
4/24/2018,68477
4/25/2018,68962
4/26/2018,64760
4/27/2018,56276
4/28/2018,42883
4/29/2018,42861
4/30/2018,51372
5/1/2018,56905
5/2/2018,56834
5/3/2018,64835
5/4/2018,56420
5/5/2018,44898
5/6/2018,43602
5/7/2018,55713
5/8/2018,57836
5/9/2018,54817
5/10/2018,65517
5/11/2018,59600
5/12/2018,40878
5/13/2018,46586
5/14/2018,55193
5/15/2018,59453
5/16/2018,56362
5/17/2018,58871
5/18/2018,59496
5/19/2018,44562
5/20/2018,48197
5/21/2018,57575
5/22/2018,59419
5/23/2018,63881
5/24/2018,72924
5/25/2018,49617
5/26/2018,42533
5/27/2018,43357
5/28/2018,53397
5/29/2018,58201
5/30/2018,69592
5/31/2018,96378
6/1/2018,72946
6/2/2018,58104
6/3/2018,56734
6/4/2018,74785
6/5/2018,130604
6/6/2018,70775
6/7/2018,69192
6/8/2018,64313
6/9/2018,56129
6/10/2018,60222
6/11/2018,71665
6/12/2018,72167
6/13/2018,70514
6/14/2018,68685
6/15/2018,58703
6/16/2018,50098
6/17/2018,52736
6/18/2018,80955
6/19/2018,77413
6/20/2018,83183
6/21/2018,81671
6/22/2018,66745
6/23/2018,72015
6/24/2018,68024
6/25/2018,80403
6/26/2018,81573
6/27/2018,69363
6/28/2018,63678
6/29/2018,66111
6/30/2018,54004
7/1/2018,44552
7/2/2018,61693
7/3/2018,65394
7/4/2018,63630
7/5/2018,74420
7/6/2018,62313
7/7/2018,54111
7/8/2018,51703
7/9/2018,62304
7/10/2018,90831
7/11/2018,71342
7/12/2018,64328
7/13/2018,60919
7/14/2018,49131
7/15/2018,50575
7/16/2018,63715
7/17/2018,71926
7/18/2018,65871
7/19/2018,63196
7/20/2018,64881
7/21/2018,54481
7/22/2018,54784
7/23/2018,70218
7/24/2018,73937
7/25/2018,95611
7/26/2018,96264
7/27/2018,57272
7/28/2018,44523
7/29/2018,44070
7/30/2018,60989
7/31/2018,62339
8/1/2018,63520
8/2/2018,63268
8/3/2018,62227
8/4/2018,46947
8/5/2018,42650
8/6/2018,63159
8/7/2018,67216
8/8/2018,72890
8/9/2018,71460
8/10/2018,71279
8/11/2018,55241
8/12/2018,52774
8/13/2018,66145
8/14/2018,66222
8/15/2018,67895
8/16/2018,61577
8/17/2018,59822
8/18/2018,52645
8/19/2018,58069
8/20/2018,71289
8/21/2018,68729
8/22/2018,67580
8/23/2018,66574
8/24/2018,62847
8/25/2018,51910
8/26/2018,49398
8/27/2018,63821
8/28/2018,63969
8/29/2018,63573
8/30/2018,75250
8/31/2018,77834
9/1/2018,47114
9/2/2018,46875
9/3/2018,67138
9/4/2018,72182
9/5/2018,76418
9/6/2018,79476
9/7/2018,78279
9/8/2018,72950
9/9/2018,56988
9/10/2018,79179
9/11/2018,88013
9/12/2018,73528
9/13/2018,77145
9/14/2018,66614
9/15/2018,56505
9/16/2018,50128
9/17/2018,64325
9/18/2018,68692
9/19/2018,71498
9/20/2018,68598
9/21/2018,68987
9/22/2018,50512
9/23/2018,56152
9/24/2018,70468
9/25/2018,64054
9/26/2018,69501
9/27/2018,67876
9/28/2018,72233
9/29/2018,52292
9/30/2018,44532
10/1/2018,25830
10/2/2018,10099
10/3/2018,62166
10/4/2018,83869
10/5/2018,86759
10/6/2018,59515
10/7/2018,87863
10/8/2018,120741
10/9/2018,131815
10/10/2018,153341
10/11/2018,163758
10/12/2018,176175
10/13/2018,168644
10/14/2018,184018
10/15/2018,174639
10/16/2018,177647
10/17/2018,169915
10/18/2018,155078
10/19/2018,149940
10/20/2018,92549
10/21/2018,80661
10/22/2018,80458
10/23/2018,105987
10/24/2018,138476
10/25/2018,140264
10/26/2018,100213
10/27/2018,65391
10/28/2018,61406
10/29/2018,76625
10/30/2018,97815
10/31/2018,108695
11/1/2018,85861
11/2/2018,73794
11/3/2018,62830
11/4/2018,62538
11/5/2018,79117
11/6/2018,83775
11/7/2018,84770
11/8/2018,105849
11/9/2018,76395
11/10/2018,64975
11/11/2018,58481
11/12/2018,80567
11/13/2018,91368
11/14/2018,90488
11/15/2018,76911
11/16/2018,80870
11/17/2018,61170
11/18/2018,66269
11/19/2018,92083
11/20/2018,90130
11/21/2018,77632
11/22/2018,78076
11/23/2018,75398
11/24/2018,64116
11/25/2018,62559
11/26/2018,77084
11/27/2018,93864
11/28/2018,88667
11/29/2018,92368
11/30/2018,82645
12/1/2018,62373
12/2/2018,73710
12/3/2018,96254
12/4/2018,96984
12/5/2018,96559
12/6/2018,89751
12/7/2018,86705
12/8/2018,72606
12/9/2018,70190
12/10/2018,74469
12/11/2018,81153
12/12/2018,83163
12/13/2018,89445
12/14/2018,83384
12/15/2018,79467
12/16/2018,77869
12/17/2018,98436
12/18/2018,96231
12/19/2018,92070
12/20/2018,90449
12/21/2018,85083
12/22/2018,70392
12/23/2018,69765
12/24/2018,69618
12/25/2018,74671
12/26/2018,76754
12/27/2018,80703
12/28/2018,73629
12/29/2018,66282
12/30/2018,62826
12/31/2018,60481
1/1/2019,58508
1/2/2019,109708
1/3/2019,100710
1/4/2019,94514
1/5/2019,77897
1/6/2019,94108
1/7/2019,94715
1/8/2019,105928
1/9/2019,106576
1/10/2019,111328
1/11/2019,120991
1/12/2019,110775
1/13/2019,97243
1/14/2019,114139
1/15/2019,112172
1/16/2019,113433
1/17/2019,105912
1/18/2019,106513
1/19/2019,79858
1/20/2019,78679
1/21/2019,103240
1/22/2019,106126
1/23/2019,119710
1/24/2019,114541
1/25/2019,119836
1/26/2019,78342
1/27/2019,86596
1/28/2019,111784
1/29/2019,107881
1/30/2019,106844
1/31/2019,115145
2/1/2019,99156
2/2/2019,71654
2/3/2019,104287
2/4/2019,97713
2/5/2019,107855
2/6/2019,120854
2/7/2019,107973
2/8/2019,101730
2/9/2019,118356
2/10/2019,78137
2/11/2019,113240
2/12/2019,118410
2/13/2019,122283
2/14/2019,134772
2/15/2019,123318
2/16/2019,111750
2/17/2019,98067
2/18/2019,112632
2/19/2019,106237
2/20/2019,120747
2/21/2019,114251
2/22/2019,102341
2/23/2019,86657
2/24/2019,81696
2/25/2019,99292
2/26/2019,108135
2/27/2019,102492
2/28/2019,103079
3/1/2019,92662
3/2/2019,75072
3/3/2019,76810
3/4/2019,104991
3/5/2019,113300
3/6/2019,99434
3/7/2019,96024
3/8/2019,91932
3/9/2019,65607
3/10/2019,68218
3/11/2019,100407
3/12/2019,92674
3/13/2019,97029
3/14/2019,107248
3/15/2019,102519
3/16/2019,80095
3/17/2019,66368
3/18/2019,101569
3/19/2019,98515
3/20/2019,95566
3/21/2019,83454
3/22/2019,92856
3/23/2019,59222
3/24/2019,64835
3/25/2019,94751
3/26/2019,106366
3/27/2019,97418
3/28/2019,113353
3/29/2019,134753
3/30/2019,83480
3/31/2019,71121
4/1/2019,98719
4/2/2019,93282
4/3/2019,98107
4/4/2019,112045
4/5/2019,110418
4/6/2019,80815
4/7/2019,64028
4/8/2019,89370
4/9/2019,92505
4/10/2019,92153
4/11/2019,97584
4/12/2019,92058
4/13/2019,93224
4/14/2019,75554
4/15/2019,92015
4/16/2019,98066
4/17/2019,100099
4/18/2019,86821
4/19/2019,73030
4/20/2019,131100
4/21/2019,75644
4/22/2019,81984
4/23/2019,97791
4/24/2019,91681
4/25/2019,87451
4/26/2019,79416
4/27/2019,61038
4/28/2019,57724
4/29/2019,80832
4/30/2019,96499
5/1/2019,91566
5/2/2019,105923
5/3/2019,100673
5/4/2019,62282
5/5/2019,86542
5/6/2019,83274
5/7/2019,85039
5/8/2019,92181
5/9/2019,91506
5/10/2019,86823
5/11/2019,89641
5/12/2019,65338
5/13/2019,90475
5/14/2019,106162
5/15/2019,104193
5/16/2019,94579
5/17/2019,101725
5/18/2019,86865
5/19/2019,101164
5/20/2019,92125
5/21/2019,93848
5/22/2019,106702
5/23/2019,86054
5/24/2019,83585
5/25/2019,67210
5/26/2019,67965
5/27/2019,106559
5/28/2019,99094
5/29/2019,100021
5/30/2019,102705
5/31/2019,102818
6/1/2019,71713
6/2/2019,80399
6/3/2019,102453
6/4/2019,106321
6/5/2019,102191
6/6/2019,106048
6/7/2019,104623
6/8/2019,61504
6/9/2019,75791
6/10/2019,98910
6/11/2019,102190
6/12/2019,107613
6/13/2019,99938
6/14/2019,81671
6/15/2019,63355
6/16/2019,69442
6/17/2019,1173655
6/18/2019,1166225
6/19/2019,102231
6/20/2019,105359
6/21/2019,101275
6/22/2019,72492
6/23/2019,83188
6/24/2019,107207
6/25/2019,107039
6/26/2019,95900
6/27/2019,107290
6/28/2019,87190
6/29/2019,63622
6/30/2019,65243
7/1/2019,97699
7/2/2019,97183
7/3/2019,91528
7/4/2019,87225
7/5/2019,131213
7/6/2019,66995
7/7/2019,71811
7/8/2019,97352
7/9/2019,117078
7/10/2019,207841
7/11/2019,111793
7/12/2019,112038
7/13/2019,70150
7/14/2019,68169
7/15/2019,107960
7/16/2019,107007
7/17/2019,129677
7/18/2019,127187
7/19/2019,102631
7/20/2019,75436
7/21/2019,70848
7/22/2019,107960
7/23/2019,110464
7/24/2019,121716
7/25/2019,100948
7/26/2019,91195
7/27/2019,68741
7/28/2019,70696
7/29/2019,100947
7/30/2019,104442
7/31/2019,99008
8/1/2019,103424
8/2/2019,93270
8/3/2019,151671
8/4/2019,145731
8/5/2019,105386
8/6/2019,337325
8/7/2019,341595
8/8/2019,99495
8/9/2019,93534
8/10/2019,65534
8/11/2019,62891
8/12/2019,87424
8/13/2019,100304
8/14/2019,105699
8/15/2019,85475
8/16/2019,96934
8/17/2019,55069
8/18/2019,84197
8/19/2019,119860
8/20/2019,114539
8/21/2019,118384
8/22/2019,140928
8/23/2019,103203
8/24/2019,80988
8/25/2019,80635
8/26/2019,130151
8/27/2019,122564
8/28/2019,116142
8/29/2019,94855
8/30/2019,98117
8/31/2019,122398
9/1/2019,69977
9/2/2019,85331
9/3/2019,102896
9/4/2019,106868
9/5/2019,102307
9/6/2019,91461
9/7/2019,61628
9/8/2019,98955
9/9/2019,174212
9/10/2019,95371
9/11/2019,97140
9/12/2019,101739
9/13/2019,91749
9/14/2019,65897
9/15/2019,66924
9/16/2019,93719
9/17/2019,116171
9/18/2019,106662
9/19/2019,106773
9/20/2019,91165
9/21/2019,61998
9/22/2019,63127
9/23/2019,105193
9/24/2019,106773
9/25/2019,130091
9/26/2019,146917
9/27/2019,105245
9/28/2019,71045
9/29/2019,93493
9/30/2019,107238
10/1/2019,107202
10/2/2019,99416
10/3/2019,98737
10/4/2019,91873
10/5/2019,78400
10/6/2019,76252
10/7/2019,114746
10/8/2019,121411
10/9/2019,121069
10/10/2019,129971
10/11/2019,157475
10/12/2019,147056
10/13/2019,116148
10/14/2019,118108
10/15/2019,131170
10/16/2019,185784
10/17/2019,169663
10/18/2019,160650
10/19/2019,116900
10/20/2019,120460
10/21/2019,208036
10/22/2019,229870
10/23/2019,273708
10/24/2019,255178
10/25/2019,176921
10/26/2019,118564
10/27/2019,129458
10/28/2019,209661
10/29/2019,211967
10/30/2019,210925
10/31/2019,189965
11/1/2019,168513
11/2/2019,118347
11/3/2019,130118
11/4/2019,201791
11/5/2019,208234
11/6/2019,194616
11/7/2019,200462
11/8/2019,177588
11/9/2019,115642
11/10/2019,117717
11/11/2019,212058
11/12/2019,206488
11/13/2019,195023
11/14/2019,196477
11/15/2019,314101
11/16/2019,125634
11/17/2019,131639
11/18/2019,221181
11/19/2019,221555
11/20/2019,151733
11/21/2019,169121
11/22/2019,204015
11/23/2019,146658
11/24/2019,138875
11/25/2019,219608
11/26/2019,220590
11/27/2019,208223
11/28/2019,202049
11/29/2019,171584
11/30/2019,141161
12/1/2019,142918
12/2/2019,220144
12/3/2019,158549
